Country,Corruption 2018,Corruption 2019,Corruption 2020,Corruption 2021
Malawi,0.08,0.089,0.731700778,0.729
Chad,0.06,0.078,0.802760839,0.807
Zimbabwe,0.099,0.089,0.81023699,0.821
Afghanistan,0.036,0.025,0.933686554,0.924
Botswana,0.092,0.1,0.777930915,0.801
Benin,0.067,0.082,0.740532577,0.661
Madagascar,0.049,0.041,0.817485631,0.803
Yemen,0.064,0.077,0.800287724,0.8
Liberia,0.03,0.033,0.856375933,0.85
Guinea,0.094,0.086,0.761794448,0.766
Togo,0.101,0.085,0.757733464,0.772
Rwanda,0.444,0.411,0.183541179,0.167
Tanzania,0.097,0.147,0.619799435,0.577
