Country,2019,2020,2021,2022
Turkey,0.083,-0.171046436,-0.139,0.087
Malaysia,0.26,0.114726797,0.125,0.213
Belarus,0.094,-0.164926544,-0.18,0.04
Greece,0.0,-0.300907373,-0.288,0.015
Mongolia,0.235,0.098093867,0.116,0.247
Nigeria,0.215,0.033745807,0.037,0.175
Kyrgyzstan,0.3,0.154772058,0.119,0.208
Turkmenistan,0.244,0.187671542,0.273,0.314
Algeria,0.073,-0.121105164,-0.067,0.106
Morocco,0.036,-0.240377247,-0.236,0.02
Azerbaijan,0.035,-0.240255281,-0.223,0.023
Lebanon,0.166,-0.06121527,-0.073,0.082
Indonesia,0.498,0.519586504,0.542,0.468
China,0.058,-0.18142575,-0.146,0.099
Vietnam,0.147,-0.094533332,-0.098,0.143
Cameroon,0.187,-0.00149645,0.026,0.152
Bulgaria,0.081,-0.143908441,-0.096,0.123
Ghana,0.245,0.094170853,0.123,0.23
Ivory Coast,0.154,-0.043991156,-0.016,0.149
Nepal,0.285,0.154168829,0.152,0.237
Jordan,0.11,-0.162565202,-0.167,0.058
Benin,0.175,-0.003537213,-0.034,0.127
Gabon,0.043,-0.222261623,-0.2,0.032
Laos,0.266,0.11137148,0.123,0.197
South Africa,0.13,-0.109777324,-0.067,0.089
Albania,0.178,-0.042309489,-0.03,0.138
Venezuela,0.064,-0.169090509,-0.169,0.225
Cambodia,0.232,0.051911179,0.034,0.166
Palestinian Territories,0.103,-0.162079096,-0.163,0.073
Senegal,0.153,-0.052335154,-0.046,0.143
Namibia,0.07,-0.18530646,-0.149,0.067
Niger,0.188,0.013860817,0.018,0.165
Burkina Faso,0.177,-0.019080516,-0.009,0.186
Armenia,0.095,-0.13877961,-0.168,0.054
Iran,0.27,0.117891103,0.218,0.241
Guinea,0.207,0.076328471,0.095,0.214
Georgia,0.043,-0.22892037,-0.238,0.0
Gambia,0.269,0.343198717,0.424,0.388
Kenya,0.372,0.294681519,0.287,0.322
Mauritania,0.106,-0.106008142,-0.106,0.088
Mozambique,0.197,0.032375868,0.061,0.185
Tunisia,0.059,-0.216413811,-0.201,0.029
Bangladesh,0.166,-0.033664726,-0.041,0.125
Iraq,0.148,-0.06956476,-0.053,0.147
Mali,0.153,-0.044366926,-0.036,0.128
Sierra Leone,0.252,0.088660747,0.084,0.202
Sri Lanka,0.244,0.081129618,0.079,0.15
Myanmar,0.566,0.560663998,0.509,0.452
Chad,0.198,0.017834719,0.041,0.182
Ukraine,0.187,-0.030933706,-0.011,0.188
Ethiopia,0.209,0.043377332,0.082,0.205
Kingdom of Eswatini,0.074,-0.19920142,-0.185,0.038
Uganda,0.252,0.099487431,0.122,0.222
Egypt,0.076,-0.196878314,-0.182,0.041
Zambia,0.247,0.078037128,0.061,0.203
Togo,0.177,0.002667875,0.032,0.174
India,0.2,0.057551607,0.089,0.198
Liberia,0.233,0.04227322,0.05,0.178
Comoros,0.275,0.090008408,0.082,0.195
Madagascar,0.169,-0.011823639,-0.005,0.143
Lesotho,0.107,-0.145732045,-0.131,0.076
Zimbabwe,0.151,-0.072063953,-0.047,0.106
Botswana,0.025,-0.250394493,-0.246,0.012
Malawi,0.218,0.021433279,0.038,0.14
Yemen,0.108,-0.157735437,-0.147,0.09
Rwanda,0.217,0.055483952,0.061,0.187
Tanzania,0.276,0.109668687,0.183,0.248
Afghanistan,0.158,-0.0964294,-0.102,0.089
Congo,0.105,-0.123674095,-0.068,0.13
