Country,2019,2020,2021,2022
Bangladesh,0.527,0.90062499,0.877,0.622
Iraq,0.241,0.633182645,0.63,0.328
Mali,0.327,0.71156615,0.697,0.35
Sierra Leone,0.309,0.715315044,0.717,0.387
Sri Lanka,0.47,0.837633669,0.841,0.529
Myanmar,0.525,0.895075202,0.876,0.513
Chad,0.174,0.587305248,0.579,0.18
Ukraine,0.178,0.663081884,0.724,0.473
Ethiopia,0.344,0.740795195,0.752,0.472
Kingdom of Eswatini,0.313,0.646822274,0.647,0.259
Uganda,0.356,0.731713951,0.709,0.402
Egypt,0.241,0.708354175,0.749,0.469
Zambia,0.431,0.806500256,0.782,0.525
Togo,0.293,0.649828613,0.619,0.292
India,0.498,0.881444871,0.893,0.647
Liberia,0.37,0.735268712,0.735,0.405
Comoros,0.142,0.547612607,0.548,0.185
Madagascar,0.148,0.557574093,0.552,0.202
Lesotho,0.359,0.738125861,0.715,0.419
Zimbabwe,0.361,0.711457908,0.677,0.329
Botswana,0.455,0.821328104,0.824,0.571
Malawi,0.443,0.803223193,0.78,0.477
Yemen,0.143,0.599920273,0.602,0.33
Rwanda,0.555,0.900589406,0.897,0.621
Tanzania,0.417,0.82153976,0.833,0.578
Afghanistan,0.0,0.396573007,0.382,0.0
Congo,0.372,0.719058514,0.695,0.431
