Country,Generosity 2018,Generosity 2019,Generosity 2020,Generosity 2021
Bangladesh,0.153,0.166,-0.033664726,-0.041
Kenya,0.352,0.372,0.294681519,0.287
Myanmar,0.598,0.566,0.560663998,0.509
Senegal,0.138,0.153,-0.052335154,-0.046
Zambia,0.221,0.247,0.078037128,0.061
Iraq,0.148,0.148,-0.06956476,-0.053
Gabon,0.032,0.043,-0.222261623,-0.2
Ethiopia,0.22,0.209,0.043377332,0.082
Sri Lanka,0.307,0.244,0.081129618,0.079
Armenia,0.077,0.095,-0.13877961,-0.168
India,0.172,0.2,0.057551607,0.089
Mauritania,0.134,0.106,-0.106008142,-0.106
Georgia,0.038,0.043,-0.22892037,-0.238
Mali,0.139,0.153,-0.044366926,-0.036
Ivory Coast,0.146,0.154,-0.043991156,-0.016
Cambodia,0.256,0.232,0.051911179,0.034
Ghana,0.212,0.245,0.094170853,0.123
Ukraine,0.187,0.187,-0.030933706,-0.011
Uganda,0.259,0.252,0.099487431,0.122
Burkina Faso,0.175,0.177,-0.019080516,-0.009
Niger,0.175,0.188,0.013860817,0.018
Malawi,0.21,0.218,0.021433279,0.038
Chad,0.181,0.198,0.017834719,0.041
Zimbabwe,0.132,0.151,-0.072063953,-0.047
Afghanistan,0.191,0.158,-0.0964294,-0.102
Botswana,0.042,0.025,-0.250394493,-0.246
Benin,0.163,0.175,-0.003537213,-0.034
Madagascar,0.155,0.169,-0.011823639,-0.005
Yemen,0.083,0.108,-0.157735437,-0.147
Liberia,0.206,0.233,0.04227322,0.05
Guinea,0.185,0.207,0.076328471,0.095
Togo,0.158,0.177,0.002667875,0.032
Rwanda,0.2,0.217,0.055483952,0.061
Tanzania,0.27,0.276,0.109668687,0.183
