Country,2019,2020,2021,2022
Cambodia,0.062,0.822769046,0.843,0.068
Palestinian Territories,0.066,0.824199975,0.821,0.079
Senegal,0.072,0.808785141,0.801,0.081
Namibia,0.056,0.851449788,0.847,0.071
Niger,0.102,0.722530186,0.693,0.145
Burkina Faso,0.113,0.739795029,0.748,0.126
Armenia,0.064,0.773544788,0.629,0.21
Iran,0.125,0.714635968,0.714,0.146
Guinea,0.086,0.761794448,0.766,0.116
Georgia,0.164,0.665944695,0.655,0.208
Gambia,0.167,0.690717816,0.746,0.103
Kenya,0.053,0.831499159,0.825,0.082
Mauritania,0.088,0.746223509,0.731,0.138
Mozambique,0.138,0.683019102,0.684,0.2
Tunisia,0.055,0.867590249,0.87,0.029
Bangladesh,0.143,0.661843538,0.682,0.187
Iraq,0.089,0.82226181,0.875,0.046
Mali,0.052,0.839328408,0.827,0.042
Sierra Leone,0.045,0.861330688,0.866,0.055
Sri Lanka,0.047,0.859001756,0.863,0.079
Myanmar,0.172,0.645124316,0.66,0.194
Chad,0.078,0.802760839,0.807,0.077
Ukraine,0.01,0.920636714,0.924,0.017
Ethiopia,0.1,0.753690004,0.761,0.136
Kingdom of Eswatini,0.135,0.708263338,0.708,0.154
Uganda,0.06,0.836737812,0.855,0.066
Egypt,0.067,0.787726879,0.795,0.254
Zambia,0.087,0.801289678,0.823,0.083
Togo,0.085,0.757733464,0.772,0.132
India,0.085,0.772042692,0.774,0.123
Liberia,0.033,0.856375933,0.85,0.08
Comoros,0.078,0.780622602,0.781,0.125
Madagascar,0.041,0.817485631,0.803,0.154
Lesotho,0.093,0.857392073,0.915,0.018
Zimbabwe,0.089,0.81023699,0.821,0.105
Botswana,0.1,0.777930915,0.801,0.102
Malawi,0.089,0.731700778,0.729,0.157
Yemen,0.077,0.800287724,0.8,0.098
Rwanda,0.411,0.183541179,0.167,0.544
Tanzania,0.147,0.619799435,0.577,0.27
Afghanistan,0.025,0.933686554,0.924,0.005
Congo,0.093,0.751779079,0.745,0.146
