Country,2019,2020,2021,2022
Bosnia and Herzegovina,5.386,5.674099922,5.813,5.768
Turkey,5.373,5.131800175,4.948,4.744
Malaysia,5.339,5.384300232,5.384,5.711
Belarus,5.323,5.539899826,5.534,5.821
Greece,5.287,5.514999866,5.723,5.948
Mongolia,5.285,5.456200123,5.677,5.761
Nigeria,5.265,4.724100113,4.759,4.552
Kyrgyzstan,5.261,5.541500092,5.744,5.828
Turkmenistan,5.247,5.119100094,5.066,5.474
Algeria,5.211,5.005099773,4.887,5.122
Morocco,5.208,5.094799995,4.918,5.06
Azerbaijan,5.208,5.164800167,5.171,5.173
Lebanon,5.197,4.771500111,4.584,2.955
Indonesia,5.192,5.285600185,5.345,5.24
China,5.191,5.123899937,5.339,5.585
Vietnam,5.175,5.353499889,5.411,5.485
Cameroon,5.044,5.084899902,5.142,5.048
Bulgaria,5.011,5.101500034,5.266,5.371
Ghana,4.996,5.147999763,5.088,4.872
Ivory Coast,4.944,5.233300209,5.306,5.235
Nepal,4.913,5.137199879,5.269,5.377
Jordan,4.906,4.633399963,4.395,4.152
Benin,4.883,5.21600008,5.045,4.623
Gabon,4.799,4.829299927,4.852,4.958
Laos,4.796,4.888599873,5.03,5.14
South Africa,4.722,4.814099789,4.956,5.194
Albania,4.719,4.882699966,5.117,5.199
Venezuela,4.707,5.053199768,4.892,4.925
Cambodia,4.7,4.848400116,4.83,4.64
Palestinian Territories,4.696,4.552800179,4.517,4.483
Senegal,4.681,4.980800152,5.132,5.046
Namibia,4.639,4.571100235,4.574,4.459
Niger,4.628,4.909599781,5.074,5.003
Burkina Faso,4.587,4.768700123,4.834,4.67
Armenia,4.559,4.676799774,5.283,5.399
Iran,4.548,4.672399998,4.721,4.888
Guinea,4.534,4.949299812,4.984,4.891
Georgia,4.519,4.672599792,4.891,4.973
Gambia,4.516,4.750599861,5.051,5.164
Kenya,4.509,4.583000183,4.607,4.543
Mauritania,4.49,4.374599934,4.227,4.153
Mozambique,4.466,4.623600006,4.794,5.048
Tunisia,4.461,4.392199993,4.596,4.516
Bangladesh,4.456,4.832799911,5.025,5.155
Iraq,4.437,4.784800053,4.854,4.941
Mali,4.39,4.729300022,4.723,4.479
Sierra Leone,4.374,3.926399946,3.849,3.574
Sri Lanka,4.366,4.327000141,4.325,4.362
Myanmar,4.36,4.308000088,4.426,4.394
Chad,4.35,4.422699928,4.355,4.251
Ukraine,4.332,4.56069994,4.875,5.084
Ethiopia,4.286,4.186200142,4.275,4.241
Kingdom of Eswatini,4.212,4.308100224,4.308,4.396
Uganda,4.189,4.43200016,4.636,4.603
Egypt,4.166,4.151400089,4.283,4.288
Zambia,4.107,3.759399891,4.073,3.76
Togo,4.085,4.187200069,4.107,4.112
India,4.015,3.573299885,3.819,3.777
Liberia,3.975,4.557899952,4.625,5.122
Comoros,3.973,4.288599968,4.289,4.609
Madagascar,3.933,4.165599823,4.208,4.339
Lesotho,3.802,3.652800083,3.512,3.512
Zimbabwe,3.663,3.299200058,3.145,2.995
Botswana,3.488,3.478899956,3.467,3.471
Malawi,3.41,3.538000107,3.6,3.75
Yemen,3.38,3.527400017,3.658,4.197
Rwanda,3.334,3.312299967,3.415,3.268
Tanzania,3.231,3.476200104,3.623,3.702
Afghanistan,3.203,2.566900015,2.523,2.404
Congo,4.615,4.752699852,5.342,5.075
